epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.0215,1.09121,1.13811,1.25385,0.98816,0.98805,0.99445,0.71461,0.91699,1.15784,1.17847,0.00332808,0.00332808,0.00332808
2,184.559,1.12888,0.52861,1.27087,0.9833,0.97539,0.99385,0.69007,1.03715,0.4476,1.26614,0.00665482,0.00665482,0.00665482
3,271.475,1.21872,0.51496,1.33369,0.95931,0.97657,0.99128,0.641,1.15072,0.51333,1.35219,0.00997496,0.00997496,0.00997496
4,359.045,1.31586,0.54978,1.38722,0.94836,0.94793,0.98362,0.61925,1.24173,1.1247,1.41133,0.0099703,0.0099703,0.0099703
5,447.296,1.34069,0.55751,1.40583,0.91234,0.92373,0.94664,0.56341,1.34083,1.62115,1.49604,0.0099604,0.0099604,0.0099604
6,535.516,1.36704,0.57009,1.41575,0.97114,0.95581,0.99093,0.63194,1.23946,0.49145,1.41343,0.0099505,0.0099505,0.0099505
7,624.335,1.36221,0.56576,1.42137,0.95558,0.94911,0.98444,0.60759,1.26979,0.86974,1.43809,0.0099406,0.0099406,0.0099406
8,713.735,1.35421,0.55984,1.41435,0.96539,0.95721,0.98933,0.62562,1.20673,0.55621,1.3961,0.0099307,0.0099307,0.0099307
9,807.717,1.35911,0.56571,1.41801,0.94739,0.93728,0.98209,0.61761,1.23689,0.68644,1.41622,0.0099208,0.0099208,0.0099208
10,897.403,1.35577,0.56022,1.41703,0.97126,0.95996,0.99146,0.64612,1.21613,0.49116,1.39954,0.0099109,0.0099109,0.0099109
11,987.277,1.35867,0.55712,1.41735,0.95948,0.96213,0.99083,0.6354,1.22514,0.57092,1.40193,0.009901,0.009901,0.009901
12,1077.24,1.36628,0.56347,1.42157,0.96085,0.95858,0.98883,0.62572,1.21449,0.48621,1.39875,0.0098911,0.0098911,0.0098911
13,1167.32,1.36764,0.55361,1.42455,0.97471,0.93491,0.98814,0.61353,1.23775,0.73322,1.40885,0.0098812,0.0098812,0.0098812
14,1257.24,1.36396,0.5558,1.4232,0.96447,0.95385,0.98729,0.63156,1.22937,0.48986,1.40178,0.0098713,0.0098713,0.0098713
15,1347.18,1.37117,0.56037,1.42689,0.96833,0.95266,0.988,0.6377,1.22559,0.68381,1.39931,0.0098614,0.0098614,0.0098614
16,1437.14,1.36385,0.54778,1.42238,0.94717,0.97278,0.98869,0.6456,1.21582,0.56139,1.40053,0.0098515,0.0098515,0.0098515
17,1527.45,1.36062,0.55437,1.42033,0.96139,0.97231,0.99169,0.63056,1.2322,0.49596,1.40614,0.0098416,0.0098416,0.0098416
18,1617.62,1.36023,0.55196,1.4173,0.95956,0.95266,0.98924,0.62582,1.20524,0.86201,1.38849,0.0098317,0.0098317,0.0098317
19,1707.72,1.36798,0.55314,1.4299,0.9703,0.95976,0.98824,0.64667,1.21164,0.44835,1.3918,0.0098218,0.0098218,0.0098218
20,1797.83,1.36544,0.55475,1.41999,0.96956,0.98018,0.99256,0.65316,1.20529,0.462,1.39201,0.0098119,0.0098119,0.0098119
21,1888.15,1.3576,0.55308,1.41959,0.97177,0.9574,0.9909,0.65151,1.19405,0.47325,1.38445,0.009802,0.009802,0.009802
22,1978.21,1.36298,0.54739,1.42023,0.95967,0.95753,0.98962,0.64382,1.20918,0.45342,1.39126,0.0097921,0.0097921,0.0097921
23,2068.1,1.36633,0.55183,1.42217,0.97255,0.96805,0.99236,0.64806,1.20345,0.43297,1.38629,0.0097822,0.0097822,0.0097822
24,2158.17,1.3706,0.54961,1.43163,0.96808,0.96903,0.9901,0.65066,1.2242,0.44743,1.40191,0.0097723,0.0097723,0.0097723
25,2248.18,1.35495,0.54265,1.41472,0.961,0.96331,0.99141,0.6449,1.21352,0.4563,1.39147,0.0097624,0.0097624,0.0097624
26,2338.33,1.36104,0.54247,1.41927,0.97094,0.96805,0.99076,0.65202,1.20418,0.44057,1.38979,0.0097525,0.0097525,0.0097525
27,2428.74,1.37084,0.55163,1.42224,0.95279,0.97916,0.98949,0.64229,1.19531,0.49906,1.38036,0.0097426,0.0097426,0.0097426
28,2518.85,1.35076,0.54355,1.41827,0.96655,0.97278,0.99184,0.65106,1.18237,0.46129,1.36982,0.0097327,0.0097327,0.0097327
29,2608.99,1.35152,0.54165,1.4116,0.96827,0.97517,0.99276,0.65161,1.20698,0.43013,1.38539,0.0097228,0.0097228,0.0097228
30,2699.35,1.35952,0.54599,1.41527,0.98048,0.95503,0.99202,0.65603,1.18336,0.43533,1.36774,0.0097129,0.0097129,0.0097129
31,2789.59,1.35315,0.54631,1.41611,0.97164,0.96686,0.99232,0.64999,1.20007,0.43161,1.38293,0.009703,0.009703,0.009703
32,2879.99,1.35914,0.54181,1.41468,0.97499,0.96886,0.99203,0.65126,1.19409,0.49906,1.37991,0.0096931,0.0096931,0.0096931
33,2970.28,1.36041,0.55014,1.42069,0.9796,0.96592,0.99262,0.65651,1.17344,0.4313,1.36764,0.0096832,0.0096832,0.0096832
34,3060.25,1.35454,0.54199,1.416,0.96498,0.97278,0.9926,0.66261,1.172,0.46307,1.36659,0.0096733,0.0096733,0.0096733
35,3150.36,1.35443,0.54389,1.413,0.97723,0.9649,0.99299,0.66519,1.16542,0.42557,1.36023,0.0096634,0.0096634,0.0096634
36,3240.85,1.35064,0.53806,1.40853,0.96859,0.97396,0.99303,0.66716,1.17932,0.4215,1.3678,0.0096535,0.0096535,0.0096535
37,3330.96,1.35556,0.53863,1.419,0.9761,0.96661,0.9929,0.66242,1.16903,0.4313,1.36111,0.0096436,0.0096436,0.0096436
38,3421.58,1.35271,0.53795,1.41406,0.97287,0.96686,0.99258,0.66078,1.16685,0.4182,1.3587,0.0096337,0.0096337,0.0096337
39,3511.49,1.35502,0.53566,1.41213,0.97768,0.9645,0.99295,0.66618,1.16342,0.41201,1.35788,0.0096238,0.0096238,0.0096238
40,3601.78,1.34586,0.54255,1.41331,0.9582,0.97666,0.99267,0.67177,1.16668,0.40582,1.36369,0.0096139,0.0096139,0.0096139
41,3692.08,1.34824,0.54097,1.40709,0.97507,0.97209,0.99265,0.66785,1.17203,0.41406,1.36501,0.009604,0.009604,0.009604
42,3782.54,1.3546,0.53922,1.41134,0.96714,0.9716,0.99277,0.66596,1.16151,0.43568,1.3581,0.0095941,0.0095941,0.0095941
43,3872.87,1.3526,0.53776,1.41167,0.96927,0.97038,0.99275,0.67269,1.16248,0.40971,1.35814,0.0095842,0.0095842,0.0095842
44,3963.31,1.35639,0.53536,1.41608,0.97379,0.96739,0.9929,0.66939,1.16113,0.40735,1.35142,0.0095743,0.0095743,0.0095743
45,4053.34,1.34799,0.53418,1.40587,0.97288,0.97654,0.99289,0.67549,1.15637,0.40408,1.35198,0.0095644,0.0095644,0.0095644
46,4143.78,1.34233,0.53709,1.40761,0.96611,0.97835,0.99284,0.67088,1.17381,0.39753,1.35746,0.0095545,0.0095545,0.0095545
47,4234.14,1.34007,0.53493,1.40843,0.9672,0.97709,0.99296,0.67366,1.16702,0.41449,1.35444,0.0095446,0.0095446,0.0095446
48,4324.33,1.33781,0.5349,1.39822,0.9661,0.97798,0.99307,0.67511,1.16062,0.41069,1.35409,0.0095347,0.0095347,0.0095347
49,4414.83,1.34127,0.53204,1.40497,0.96969,0.9787,0.99341,0.67459,1.15395,0.40281,1.35128,0.0095248,0.0095248,0.0095248
50,4505.25,1.34864,0.54084,1.41234,0.98209,0.96568,0.99334,0.67481,1.14547,0.38848,1.34408,0.0095149,0.0095149,0.0095149
51,4595.77,1.35116,0.53494,1.4147,0.96332,0.98817,0.99292,0.67234,1.15572,0.38761,1.348,0.009505,0.009505,0.009505
52,4686.2,1.33105,0.52903,1.39937,0.96837,0.97819,0.9935,0.67837,1.14762,0.38959,1.34514,0.0094951,0.0094951,0.0094951
53,4776.49,1.34361,0.53128,1.40365,0.97161,0.97278,0.99313,0.67204,1.15424,0.40667,1.34976,0.0094852,0.0094852,0.0094852
54,4866.8,1.34544,0.53759,1.40262,0.97442,0.97751,0.99345,0.67231,1.15228,0.38875,1.34679,0.0094753,0.0094753,0.0094753
55,4957.47,1.36294,0.53347,1.42202,0.97733,0.96933,0.9933,0.67607,1.15155,0.39398,1.348,0.0094654,0.0094654,0.0094654
56,5047.83,1.342,0.53646,1.4064,0.98091,0.97296,0.99361,0.6819,1.14866,0.39004,1.34612,0.0094555,0.0094555,0.0094555
57,5138.18,1.34457,0.53536,1.40967,0.9752,0.97737,0.9936,0.67728,1.14734,0.3918,1.34501,0.0094456,0.0094456,0.0094456
58,5228.83,1.34694,0.53739,1.40964,0.96952,0.97883,0.99312,0.67677,1.14409,0.39807,1.3473,0.0094357,0.0094357,0.0094357
59,5319.23,1.3416,0.53144,1.40538,0.97395,0.97988,0.9933,0.67893,1.14545,0.39111,1.34625,0.0094258,0.0094258,0.0094258
60,5409.53,1.34906,0.5308,1.40825,0.97527,0.97633,0.99303,0.6821,1.14388,0.38196,1.34125,0.0094159,0.0094159,0.0094159
61,5499.82,1.33794,0.52878,1.40951,0.96916,0.9787,0.99313,0.68049,1.14441,0.39098,1.34254,0.009406,0.009406,0.009406
62,5590.05,1.34671,0.52507,1.40487,0.9808,0.96734,0.99335,0.68191,1.14243,0.38096,1.34124,0.0093961,0.0093961,0.0093961
63,5680.38,1.34771,0.53115,1.41582,0.97292,0.97792,0.99347,0.6803,1.13794,0.37472,1.33925,0.0093862,0.0093862,0.0093862
64,5770.68,1.3403,0.52863,1.40341,0.9752,0.97724,0.99317,0.67973,1.13926,0.37718,1.33854,0.0093763,0.0093763,0.0093763
65,5861.1,1.33444,0.52652,1.39544,0.97725,0.97751,0.99341,0.68428,1.13493,0.37725,1.33534,0.0093664,0.0093664,0.0093664
66,5951.51,1.33975,0.5268,1.40375,0.9775,0.97666,0.9935,0.67868,1.13432,0.37627,1.33322,0.0093565,0.0093565,0.0093565
67,6041.92,1.33663,0.52805,1.40521,0.97084,0.98486,0.9936,0.68218,1.13319,0.37431,1.33376,0.0093466,0.0093466,0.0093466
68,6132.56,1.34064,0.53135,1.40403,0.97998,0.9787,0.9937,0.684,1.1344,0.37284,1.33494,0.0093367,0.0093367,0.0093367
69,6222.96,1.33118,0.52135,1.39365,0.97718,0.98225,0.9936,0.68383,1.13782,0.37136,1.33719,0.0093268,0.0093268,0.0093268
70,6313.52,1.33564,0.52709,1.39688,0.97861,0.98343,0.99371,0.68308,1.13561,0.3687,1.33459,0.0093169,0.0093169,0.0093169
71,6403.93,1.33183,0.52775,1.39526,0.97551,0.98107,0.99371,0.68113,1.13519,0.37297,1.33353,0.009307,0.009307,0.009307
72,6494.19,1.33189,0.52391,1.40451,0.97734,0.97988,0.99379,0.68267,1.13573,0.37205,1.33406,0.0092971,0.0092971,0.0092971
73,6584.53,1.33704,0.52838,1.40346,0.98103,0.97945,0.99373,0.68287,1.1349,0.37022,1.33344,0.0092872,0.0092872,0.0092872
74,6675.02,1.33913,0.52576,1.39902,0.98326,0.97287,0.99366,0.68485,1.12968,0.36978,1.33182,0.0092773,0.0092773,0.0092773
75,6765.35,1.33665,0.52725,1.4008,0.98447,0.9752,0.99364,0.68628,1.13094,0.36969,1.33161,0.0092674,0.0092674,0.0092674
76,6855.76,1.34675,0.53184,1.40728,0.98212,0.97498,0.99373,0.68495,1.12659,0.36844,1.32898,0.0092575,0.0092575,0.0092575
77,6946.15,1.33195,0.53031,1.3961,0.98207,0.97253,0.99368,0.68783,1.12426,0.37049,1.32726,0.0092476,0.0092476,0.0092476
78,7036.61,1.33344,0.52267,1.39588,0.96825,0.98462,0.99358,0.68652,1.12302,0.37165,1.32597,0.0092377,0.0092377,0.0092377
79,7126.93,1.34347,0.5253,1.40898,0.97628,0.97988,0.99368,0.68685,1.12344,0.37206,1.32606,0.0092278,0.0092278,0.0092278
80,7217.42,1.32653,0.52053,1.3953,0.97866,0.97681,0.99367,0.68504,1.12183,0.37308,1.32569,0.0092179,0.0092179,0.0092179
81,7307.88,1.33001,0.52424,1.40247,0.97528,0.9803,0.99358,0.68527,1.12137,0.37491,1.32471,0.009208,0.009208,0.009208
82,7398.14,1.33528,0.52528,1.39691,0.97644,0.98225,0.99355,0.68646,1.11993,0.37508,1.32359,0.0091981,0.0091981,0.0091981
83,7488.6,1.33306,0.52567,1.40077,0.97737,0.98343,0.99363,0.68662,1.1194,0.3743,1.32348,0.0091882,0.0091882,0.0091882
84,7579.34,1.3286,0.52089,1.39276,0.97646,0.98159,0.99374,0.68739,1.11771,0.37646,1.32253,0.0091783,0.0091783,0.0091783
85,7669.64,1.32465,0.52035,1.39245,0.97687,0.98107,0.99377,0.68677,1.11593,0.37655,1.32126,0.0091684,0.0091684,0.0091684
86,7760.16,1.32975,0.52664,1.39655,0.97761,0.98159,0.99377,0.68935,1.1152,0.37922,1.32124,0.0091585,0.0091585,0.0091585
