epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.9369,1.61603,2.27524,1.61987,0.84152,0.88605,0.90396,0.49568,1.40508,9.66084,1.56987,0.00332808,0.00332808,0.00332808
2,184.726,1.55978,1.15715,1.56648,0.86223,0.83693,0.89163,0.46707,1.52535,6.79116,1.65516,0.00664823,0.00664823,0.00664823
3,270.52,1.60968,0.98354,1.6172,0.87997,0.82426,0.89285,0.50541,1.40719,2.12099,1.58727,0.00995517,0.00995517,0.00995517
4,356.382,1.60957,0.89926,1.61244,0.86026,0.90059,0.92822,0.51601,1.41978,4.44882,1.57696,0.0099406,0.0099406,0.0099406
5,443.092,1.57974,0.83154,1.59391,0.88624,0.89231,0.93617,0.50152,1.49962,1.00916,1.64827,0.0099208,0.0099208,0.0099208
6,529.718,1.56387,0.79833,1.57454,0.91103,0.90059,0.95674,0.56453,1.35796,1.39729,1.52412,0.009901,0.009901,0.009901
7,616.503,1.54403,0.77705,1.56152,0.88896,0.91243,0.95694,0.56337,1.37071,0.71082,1.52181,0.0098812,0.0098812,0.0098812
8,703.535,1.52001,0.7551,1.53738,0.93578,0.91399,0.96351,0.56181,1.34767,0.9817,1.50819,0.0098614,0.0098614,0.0098614
9,790.69,1.51175,0.73302,1.5339,0.90739,0.88123,0.94899,0.53408,1.40539,1.16535,1.56758,0.0098416,0.0098416,0.0098416
10,877.663,1.5007,0.7136,1.52832,0.93941,0.89909,0.95985,0.57073,1.33299,0.6889,1.49737,0.0098218,0.0098218,0.0098218
11,964.623,1.49135,0.7073,1.51979,0.94002,0.89031,0.96461,0.58218,1.35686,0.64008,1.50886,0.009802,0.009802,0.009802
12,1051.72,1.49094,0.70641,1.51709,0.91317,0.93344,0.97365,0.59284,1.31262,0.74402,1.47465,0.0097822,0.0097822,0.0097822
13,1139.01,1.48059,0.70069,1.512,0.92721,0.92071,0.97288,0.60076,1.2973,1.14363,1.46968,0.0097624,0.0097624,0.0097624
14,1226.12,1.48016,0.69217,1.51101,0.88894,0.82959,0.92482,0.55309,1.35304,0.91018,1.49582,0.0097426,0.0097426,0.0097426
15,1313.22,1.47546,0.68115,1.50703,0.94043,0.92899,0.97812,0.59742,1.30825,0.80948,1.4727,0.0097228,0.0097228,0.0097228
16,1400.75,1.46894,0.66467,1.50164,0.89771,0.93728,0.96112,0.58149,1.32294,1.77639,1.48684,0.009703,0.009703,0.009703
17,1488.1,1.46398,0.66334,1.49938,0.94288,0.92544,0.97507,0.59502,1.30401,0.72521,1.46468,0.0096832,0.0096832,0.0096832
18,1575.53,1.45461,0.65894,1.48789,0.94312,0.92217,0.97555,0.60633,1.28451,0.77519,1.45199,0.0096634,0.0096634,0.0096634
19,1662.87,1.46272,0.65541,1.50019,0.93274,0.93373,0.97546,0.61294,1.28952,0.58627,1.45558,0.0096436,0.0096436,0.0096436
20,1750.37,1.45451,0.64945,1.48788,0.93821,0.93434,0.97999,0.59906,1.30376,0.59501,1.46908,0.0096238,0.0096238,0.0096238
21,1837.71,1.44676,0.6444,1.486,0.94266,0.94911,0.97967,0.61488,1.2887,0.53108,1.45423,0.009604,0.009604,0.009604
22,1925.17,1.45515,0.64086,1.488,0.94768,0.94308,0.98256,0.61648,1.27587,0.53621,1.4493,0.0095842,0.0095842,0.0095842
23,2012.83,1.45328,0.64402,1.48229,0.94796,0.93728,0.98453,0.61583,1.28921,0.53313,1.45144,0.0095644,0.0095644,0.0095644
24,2100.35,1.45285,0.62855,1.48896,0.94351,0.94875,0.98228,0.62479,1.27422,0.51232,1.43915,0.0095446,0.0095446,0.0095446
25,2188.29,1.43756,0.62255,1.47171,0.95242,0.9475,0.98233,0.61597,1.27988,0.5874,1.44587,0.0095248,0.0095248,0.0095248
26,2276.3,1.44821,0.62289,1.4804,0.94672,0.95148,0.98294,0.61709,1.27736,0.50797,1.43913,0.009505,0.009505,0.009505
27,2364.43,1.44753,0.63138,1.47846,0.93782,0.95503,0.98227,0.6185,1.27924,0.61102,1.44524,0.0094852,0.0094852,0.0094852
28,2453.26,1.43314,0.62282,1.47503,0.93295,0.95858,0.98384,0.61574,1.28575,0.6824,1.44976,0.0094654,0.0094654,0.0094654
29,2542.02,1.42385,0.61845,1.46277,0.94677,0.95385,0.98618,0.61928,1.27235,0.5193,1.43734,0.0094456,0.0094456,0.0094456
30,2633.73,1.43212,0.60833,1.46625,0.9645,0.93243,0.98613,0.62782,1.2616,0.49698,1.42952,0.0094258,0.0094258,0.0094258
31,2726.4,1.43231,0.62071,1.47189,0.96598,0.94102,0.98843,0.62965,1.27104,0.56063,1.43652,0.009406,0.009406,0.009406
32,90.4137,1.42523,0.60218,1.46314,0.95455,0.94441,0.9873,0.62983,1.26049,0.48072,1.43097,0.0093862,0.0093862,0.0093862
33,186.064,1.42093,0.60843,1.45762,0.94654,0.96686,0.98855,0.61554,1.25997,0.54592,1.42986,0.0093664,0.0093664,0.0093664
34,279.128,1.43028,0.60483,1.4731,0.94669,0.96923,0.9886,0.62481,1.27616,0.51436,1.43717,0.0093466,0.0093466,0.0093466
35,369.76,1.42127,0.60095,1.45845,0.94466,0.96972,0.98794,0.63258,1.2566,0.51173,1.4295,0.0093268,0.0093268,0.0093268
36,460.604,1.42057,0.59714,1.45868,0.94994,0.96923,0.98596,0.63406,1.25494,0.48332,1.42628,0.009307,0.009307,0.009307
37,551.85,1.42629,0.60551,1.45906,0.95846,0.95575,0.98817,0.63258,1.25021,0.47796,1.42273,0.0092872,0.0092872,0.0092872
38,642.996,1.42558,0.60621,1.46531,0.95869,0.95621,0.98902,0.63481,1.2713,0.45881,1.43379,0.0092674,0.0092674,0.0092674
39,734.822,1.4174,0.59819,1.45685,0.96643,0.95407,0.98997,0.63498,1.26077,0.46516,1.42637,0.0092476,0.0092476,0.0092476
40,854.479,1.41371,0.59616,1.45259,0.9663,0.95023,0.98843,0.63731,1.26492,0.45913,1.42741,0.0092278,0.0092278,0.0092278
41,949.453,1.41063,0.58561,1.45337,0.96848,0.94554,0.98769,0.6382,1.25467,0.47992,1.42219,0.009208,0.009208,0.009208
42,1054.63,1.40838,0.58978,1.45112,0.95867,0.95976,0.98978,0.64038,1.25507,0.45755,1.4244,0.0091882,0.0091882,0.0091882
43,1184.02,1.41256,0.59561,1.45368,0.95572,0.96331,0.99017,0.63448,1.25196,0.44781,1.418,0.0091684,0.0091684,0.0091684
44,1312.89,1.41577,0.59177,1.4574,0.96382,0.94585,0.9889,0.63674,1.25396,0.44996,1.42087,0.0091486,0.0091486,0.0091486
45,1441.68,1.41429,0.59503,1.45593,0.96878,0.95464,0.99048,0.63964,1.24707,0.47129,1.4163,0.0091288,0.0091288,0.0091288
46,1570.6,1.41408,0.59126,1.45618,0.96832,0.95148,0.98948,0.64318,1.25153,0.44428,1.42012,0.009109,0.009109,0.009109
47,1699.69,1.40667,0.57681,1.45099,0.94886,0.96606,0.98921,0.64079,1.24861,0.4566,1.41737,0.0090892,0.0090892,0.0090892
48,1828.86,1.40818,0.58399,1.45105,0.97553,0.9437,0.99066,0.64211,1.25372,0.44511,1.42018,0.0090694,0.0090694,0.0090694
49,1957.98,1.40106,0.58557,1.44752,0.97691,0.9512,0.98993,0.64071,1.24564,0.45706,1.41569,0.0090496,0.0090496,0.0090496
50,2086.95,1.41189,0.58114,1.45882,0.96552,0.96098,0.99037,0.64364,1.24589,0.44335,1.41493,0.0090298,0.0090298,0.0090298
51,2215.74,1.40194,0.58109,1.44652,0.96652,0.95665,0.9902,0.64259,1.25509,0.4742,1.42285,0.00901,0.00901,0.00901
52,2344.83,1.40366,0.5796,1.45082,0.97468,0.95385,0.98991,0.64178,1.24648,0.45363,1.41421,0.0089902,0.0089902,0.0089902
53,2473.93,1.40764,0.57679,1.4511,0.97692,0.95188,0.99061,0.64427,1.23956,0.43688,1.40916,0.0089704,0.0089704,0.0089704
54,2602.91,1.40692,0.57827,1.44953,0.95289,0.97633,0.99079,0.64935,1.24018,0.438,1.40756,0.0089506,0.0089506,0.0089506
55,2731.88,1.411,0.57498,1.4576,0.96341,0.96591,0.99029,0.64795,1.24072,0.44252,1.41171,0.0089308,0.0089308,0.0089308
56,2860.85,1.3954,0.56771,1.44106,0.97816,0.95384,0.99118,0.64751,1.23783,0.42754,1.40851,0.008911,0.008911,0.008911
57,2989.69,1.40434,0.57264,1.44833,0.97572,0.95114,0.9914,0.64776,1.23931,0.42769,1.40731,0.0088912,0.0088912,0.0088912
58,3118.61,1.4056,0.57874,1.44733,0.96758,0.96213,0.99125,0.64683,1.23502,0.43154,1.40655,0.0088714,0.0088714,0.0088714
59,3247.57,1.39454,0.57221,1.44621,0.96222,0.96443,0.99116,0.64921,1.22987,0.42473,1.40278,0.0088516,0.0088516,0.0088516
60,3376.25,1.38917,0.56777,1.43714,0.96022,0.97117,0.99173,0.64426,1.23321,0.4257,1.40632,0.0088318,0.0088318,0.0088318
61,3504.97,1.3975,0.57066,1.44032,0.97146,0.96678,0.99186,0.64884,1.23036,0.42419,1.40438,0.008812,0.008812,0.008812
62,3633.93,1.3997,0.57608,1.44731,0.97588,0.95769,0.99188,0.65029,1.23221,0.43084,1.40422,0.0087922,0.0087922,0.0087922
63,3763.17,1.40059,0.56601,1.44243,0.96482,0.97371,0.99193,0.65157,1.22951,0.43289,1.40226,0.0087724,0.0087724,0.0087724
64,3892.14,1.40478,0.58294,1.45008,0.9622,0.96805,0.99161,0.65008,1.2304,0.43016,1.40481,0.0087526,0.0087526,0.0087526
65,4021.13,1.39986,0.57666,1.44656,0.9657,0.96331,0.99148,0.64958,1.22646,0.43546,1.40179,0.0087328,0.0087328,0.0087328
66,4149.98,1.40158,0.57034,1.44517,0.96788,0.96269,0.99136,0.65045,1.22149,0.44028,1.39952,0.008713,0.008713,0.008713
67,4278.55,1.39334,0.56355,1.43524,0.97708,0.95839,0.99149,0.65191,1.22516,0.42875,1.40132,0.0086932,0.0086932,0.0086932
68,4407.28,1.39781,0.56787,1.44718,0.97362,0.9609,0.99149,0.65212,1.22503,0.43445,1.40163,0.0086734,0.0086734,0.0086734
69,4536.12,1.39665,0.56908,1.44284,0.97776,0.96331,0.99205,0.65054,1.22275,0.43718,1.39866,0.0086536,0.0086536,0.0086536
70,4664.85,1.39981,0.56309,1.44018,0.97384,0.96213,0.99202,0.65194,1.2205,0.42919,1.39758,0.0086338,0.0086338,0.0086338
71,4793.86,1.38978,0.5671,1.44139,0.97735,0.95621,0.99204,0.65165,1.22073,0.42228,1.39669,0.008614,0.008614,0.008614
72,4922.84,1.39149,0.56735,1.4345,0.97757,0.95621,0.99214,0.65405,1.21995,0.42254,1.39607,0.0085942,0.0085942,0.0085942
73,5051.9,1.39575,0.56413,1.43929,0.97873,0.95621,0.99225,0.65223,1.21931,0.42191,1.39428,0.0085744,0.0085744,0.0085744
74,5180.81,1.38922,0.55974,1.4347,0.97132,0.96183,0.99223,0.65386,1.21729,0.41954,1.39403,0.0085546,0.0085546,0.0085546
75,5309.59,1.40162,0.56082,1.44506,0.96874,0.96686,0.99205,0.6519,1.21654,0.41889,1.3949,0.0085348,0.0085348,0.0085348
76,5438.46,1.39192,0.56361,1.43563,0.96806,0.96805,0.99219,0.65201,1.21715,0.41903,1.39497,0.008515,0.008515,0.008515
77,5567.43,1.38623,0.56102,1.43659,0.96875,0.9645,0.99216,0.65283,1.21458,0.42332,1.39328,0.0084952,0.0084952,0.0084952
78,5696.39,1.3845,0.56177,1.43773,0.96344,0.9716,0.99209,0.65461,1.21308,0.42514,1.39236,0.0084754,0.0084754,0.0084754
79,5825.11,1.37686,0.56002,1.42516,0.96247,0.97129,0.99203,0.65519,1.21173,0.42632,1.39223,0.0084556,0.0084556,0.0084556
80,5953.7,1.3836,0.55759,1.43156,0.96557,0.96568,0.99191,0.6546,1.21042,0.42423,1.39116,0.0084358,0.0084358,0.0084358
81,6082.29,1.39115,0.56814,1.43997,0.97584,0.9561,0.99181,0.65435,1.21114,0.42275,1.39098,0.008416,0.008416,0.008416
82,6211.01,1.39182,0.55952,1.44107,0.96948,0.96331,0.99166,0.65427,1.2119,0.42147,1.39099,0.0083962,0.0083962,0.0083962
83,6339.83,1.37953,0.5486,1.42954,0.97054,0.96213,0.9917,0.6559,1.21247,0.42009,1.39089,0.0083764,0.0083764,0.0083764
84,6468.57,1.38398,0.5481,1.42911,0.97134,0.96266,0.99163,0.65533,1.21145,0.41992,1.39053,0.0083566,0.0083566,0.0083566
85,6597.18,1.38162,0.55727,1.42518,0.97067,0.96213,0.99159,0.65391,1.21295,0.41882,1.3912,0.0083368,0.0083368,0.0083368
86,6726.07,1.40078,0.55309,1.44732,0.97134,0.96272,0.99155,0.65481,1.21222,0.41641,1.39084,0.008317,0.008317,0.008317
87,6854.76,1.38346,0.55768,1.43279,0.97252,0.96095,0.99159,0.65555,1.21226,0.41801,1.39069,0.0082972,0.0082972,0.0082972
88,6983.58,1.38853,0.55614,1.43892,0.97225,0.96213,0.99163,0.65496,1.21256,0.41595,1.39068,0.0082774,0.0082774,0.0082774
89,7112.37,1.38492,0.55309,1.43325,0.97372,0.96459,0.99168,0.65651,1.21272,0.41408,1.39062,0.0082576,0.0082576,0.0082576
90,7241.27,1.3816,0.55396,1.43026,0.97488,0.96449,0.99173,0.65614,1.21242,0.41252,1.39002,0.0082378,0.0082378,0.0082378
91,7370.19,1.39515,0.56186,1.43673,0.97485,0.96339,0.99168,0.65561,1.21273,0.41117,1.39015,0.008218,0.008218,0.008218
92,7499.05,1.37556,0.55562,1.43469,0.97472,0.96331,0.99177,0.65513,1.2125,0.40945,1.39026,0.0081982,0.0081982,0.0081982
93,7627.9,1.3826,0.54912,1.42901,0.97586,0.96095,0.99189,0.6571,1.21159,0.4093,1.38966,0.0081784,0.0081784,0.0081784
94,7756.89,1.38741,0.55232,1.43866,0.96483,0.97394,0.99189,0.6585,1.21179,0.40854,1.38953,0.0081586,0.0081586,0.0081586
95,7885.61,1.38034,0.54919,1.43106,0.96479,0.97276,0.99185,0.65898,1.21125,0.40895,1.38888,0.0081388,0.0081388,0.0081388
96,8014.31,1.37624,0.55142,1.42124,0.96466,0.96922,0.99182,0.65887,1.21123,0.40817,1.38909,0.008119,0.008119,0.008119
97,8143.26,1.37766,0.54491,1.4259,0.96264,0.97582,0.99186,0.65957,1.21006,0.40721,1.38824,0.0080992,0.0080992,0.0080992
98,8271.98,1.37499,0.54686,1.43126,0.96154,0.97638,0.99191,0.65842,1.21006,0.40732,1.38822,0.0080794,0.0080794,0.0080794
99,8400.82,1.39185,0.55639,1.43483,0.96375,0.97549,0.99191,0.65947,1.20972,0.40651,1.38819,0.0080596,0.0080596,0.0080596
100,8529.64,1.3661,0.54903,1.41702,0.96378,0.97751,0.99198,0.65917,1.20961,0.40611,1.3883,0.0080398,0.0080398,0.0080398
101,8658.37,1.37866,0.54928,1.42429,0.96262,0.97525,0.99191,0.65968,1.21006,0.40548,1.38818,0.00802,0.00802,0.00802
102,8787.19,1.3676,0.55058,1.41792,0.96265,0.97607,0.99194,0.65878,1.21029,0.40562,1.38816,0.0080002,0.0080002,0.0080002
103,8916.22,1.36756,0.54345,1.42662,0.96259,0.97633,0.99199,0.65862,1.21009,0.40656,1.38814,0.0079804,0.0079804,0.0079804
104,9045.16,1.37772,0.54696,1.43013,0.96264,0.97751,0.99202,0.659,1.20962,0.40736,1.38822,0.0079606,0.0079606,0.0079606
105,9174.23,1.37509,0.54095,1.42273,0.9615,0.97751,0.99198,0.65999,1.2091,0.40745,1.38824,0.0079408,0.0079408,0.0079408
106,9303.03,1.37333,0.5479,1.42482,0.97599,0.96201,0.992,0.65949,1.20909,0.40821,1.38811,0.007921,0.007921,0.007921
107,9431.83,1.38581,0.55124,1.433,0.97504,0.96095,0.99203,0.659,1.20876,0.40843,1.38769,0.0079012,0.0079012,0.0079012
108,9560.6,1.36952,0.5452,1.42017,0.97481,0.96163,0.99202,0.65874,1.20877,0.40795,1.38741,0.0078814,0.0078814,0.0078814
109,9689.48,1.36808,0.53933,1.41787,0.97633,0.96095,0.99204,0.65901,1.20869,0.40816,1.38725,0.0078616,0.0078616,0.0078616
110,9818.13,1.38042,0.54474,1.42947,0.97597,0.96114,0.99208,0.65928,1.20872,0.40881,1.38697,0.0078418,0.0078418,0.0078418
111,9946.84,1.36697,0.54106,1.41882,0.97481,0.96095,0.9921,0.65925,1.2081,0.40822,1.38664,0.007822,0.007822,0.007822
112,10075.5,1.36863,0.53959,1.42776,0.97716,0.96187,0.99217,0.65952,1.20737,0.40792,1.3867,0.0078022,0.0078022,0.0078022
113,10204.3,1.37199,0.53886,1.41895,0.97834,0.962,0.99229,0.66021,1.20721,0.40791,1.38628,0.0077824,0.0077824,0.0077824
114,10333,1.36819,0.54107,1.42294,0.96483,0.97397,0.9923,0.66053,1.20663,0.40824,1.38614,0.0077626,0.0077626,0.0077626
115,10461.8,1.3663,0.53848,1.41868,0.97602,0.96213,0.99225,0.66038,1.20632,0.4088,1.38563,0.0077428,0.0077428,0.0077428
116,10590.5,1.36114,0.54444,1.41749,0.97727,0.96213,0.99232,0.66015,1.20623,0.40984,1.3854,0.007723,0.007723,0.007723
117,10719.3,1.36697,0.54565,1.41894,0.97617,0.96213,0.99234,0.66046,1.20591,0.40998,1.3852,0.0077032,0.0077032,0.0077032
118,10847.9,1.36969,0.53102,1.41943,0.96306,0.97751,0.99241,0.65988,1.20575,0.4103,1.38519,0.0076834,0.0076834,0.0076834
119,10976.7,1.36636,0.53256,1.41677,0.96399,0.97751,0.99244,0.66039,1.20571,0.40978,1.38514,0.0076636,0.0076636,0.0076636
